exchange     symbol               timeframe  start_date_utc            method        
binance      XTZ/USDC             1h         2024-12-06T08:00:00.000Z  since_zero    
binance      ACX/USDC             1h         2024-12-11T08:00:00.000Z  since_zero    
binance      ORCA/USDC            1h         2024-12-11T08:00:00.000Z  since_zero    
binance      HIVE/USDC            1h         2024-12-13T08:00:00.000Z  since_zero    
binance      IDEX/USDC            1h         2024-12-13T08:00:00.000Z  since_zero    
binance      TLM/USDC             1h         2024-12-13T08:00:00.000Z  since_zero    
binance      1000CAT/USDC         1h         2024-12-19T08:00:00.000Z  since_zero    
binance      PENGU/USDC           1h         2024-12-19T08:00:00.000Z  since_zero    
binance      BIO/USDC             1h         2025-01-08T08:00:00.000Z  since_zero    
binance      MOVE/USDC            1h         2025-01-08T08:00:00.000Z  since_zero    
binance      PHA/USDC             1h         2025-01-10T08:00:00.000Z  since_zero    
binance      STEEM/USDC           1h         2025-01-10T08:00:00.000Z  since_zero    
binance      USUAL/USDC           1h         2025-01-10T08:00:00.000Z  since_zero    
binance      AIXBT/USDC           1h         2025-01-10T13:00:00.000Z  since_zero    
binance      CGPT/USDC            1h         2025-01-10T13:00:00.000Z  since_zero    
binance      COOKIE/USDC          1h         2025-01-10T13:00:00.000Z  since_zero    
binance      S/USDC               1h         2025-01-16T08:00:00.000Z  since_zero    
binance      TRUMP/USDC           1h         2025-01-19T08:00:00.000Z  since_zero    
binance      ANIME/USDC           1h         2025-01-23T15:00:00.000Z  since_zero    
binance      BERA/USDC            1h         2025-02-06T13:00:00.000Z  since_zero    
binance      1000CHEEMS/USDC      1h         2025-02-09T11:00:00.000Z  since_zero    
binance      TST/USDC             1h         2025-02-09T11:00:00.000Z  since_zero    
binance      LAYER/USDC           1h         2025-02-11T14:00:00.000Z  since_zero    
binance      CAKE/USDC            1h         2025-02-18T08:00:00.000Z  since_zero    
binance      HEI/USDC             1h         2025-02-18T08:00:00.000Z  since_zero    
binance      BNX/USDC             1h         2025-02-18T08:00:00.000Z  since_zero    
binance      KAITO/USDC           1h         2025-02-20T13:00:00.000Z  since_zero    
binance      SHELL/USDC           1h         2025-02-27T13:00:00.000Z  since_zero    
binance      GPS/USDC             1h         2025-03-04T13:00:00.000Z  since_zero    
binance      RED/USDC             1h         2025-03-06T16:00:00.000Z  since_zero    
binance      CHESS/USDC           1h         2025-03-11T08:00:00.000Z  since_zero    
binance      EGLD/USDC            1h         2025-03-11T08:00:00.000Z  since_zero    
binance      OSMO/USDC            1h         2025-03-11T08:00:00.000Z  since_zero    
binance      UTK/USDC             1h         2025-03-11T08:00:00.000Z  since_zero    
binance      T/USDC               1h         2025-03-11T08:00:00.000Z  since_zero    
binance      CVC/USDC             1h         2025-03-13T08:00:00.000Z  since_zero    
binance      EURI/USDC            1h         2025-03-13T08:00:00.000Z  since_zero    
binance      SYN/USDC             1h         2025-03-13T08:00:00.000Z  since_zero    
binance      VELODROME/USDC       1h         2025-03-13T08:00:00.000Z  since_zero    
binance      DF/USDC              1h         2025-03-18T08:00:00.000Z  since_zero    
binance      EPIC/USDC            1h         2025-03-18T08:00:00.000Z  since_zero    
binance      GMX/USDC             1h         2025-03-18T08:00:00.000Z  since_zero    
binance      MKR/USDC             1h         2025-03-18T08:00:00.000Z  since_zero    
binance      RPL/USDC             1h         2025-03-18T08:00:00.000Z  since_zero    
binance      BMT/USDC             1h         2025-03-18T15:00:00.000Z  since_zero    
binance      FORM/USDC            1h         2025-03-19T08:00:00.000Z  since_zero    
binance      IOTA/USDC            1h         2025-03-20T08:00:00.000Z  since_zero    
binance      JUV/USDC             1h         2025-03-20T08:00:00.000Z  since_zero    
binance      THE/USDC             1h         2025-03-20T08:00:00.000Z  since_zero    
binance      VANRY/USDC           1h         2025-03-20T08:00:00.000Z  since_zero    
binance      NIL/USDC             1h         2025-03-24T13:00:00.000Z  since_zero    
binance      BEAMX/USDC           1h         2025-03-25T08:00:00.000Z  since_zero    
binance      VANA/USDC            1h         2025-03-25T08:00:00.000Z  since_zero    
binance      PARTI/USDC           1h         2025-03-25T13:00:00.000Z  since_zero    
binance      MUBARAK/USDC         1h         2025-03-27T21:00:00.000Z  since_zero    
binance      TUT/USDC             1h         2025-03-27T21:00:00.000Z  since_zero    
binance      BANANAS31/USDC       1h         2025-03-27T21:00:00.000Z  since_zero    
binance      BROCCOLI714/USDC     1h         2025-03-27T21:00:00.000Z  since_zero    
binance      THETA/USDC           1h         2025-04-03T08:00:00.000Z  since_zero    
binance      API3/USDC            1h         2025-04-03T08:00:00.000Z  since_zero    
binance      AUCTION/USDC         1h         2025-04-03T08:00:00.000Z  since_zero    
binance      BANANA/USDC          1h         2025-04-03T08:00:00.000Z  since_zero    
binance      GUN/USDC             1h         2025-04-03T08:00:00.000Z  since_zero    
binance      QNT/USDC             1h         2025-04-03T08:00:00.000Z  since_zero    
binance      VET/USDC             1h         2025-04-08T08:00:00.000Z  since_zero    
binance      ZEN/USDC             1h         2025-04-08T08:00:00.000Z  since_zero    
binance      BABY/USDC            1h         2025-04-10T11:00:00.000Z  since_zero    
binance      ONDO/USDC            1h         2025-04-11T14:00:00.000Z  since_zero    
binance      BIGTIME/USDC         1h         2025-04-11T14:00:00.000Z  since_zero    
binance      VIRTUAL/USDC         1h         2025-04-11T14:00:00.000Z  since_zero    
binance      KERNEL/USDC          1h         2025-04-14T12:00:00.000Z  since_zero    
binance      WCT/USDC             1h         2025-04-15T11:00:00.000Z  since_zero    
binance      PAXG/USDC            1h         2025-04-15T08:00:00.000Z  since_zero    
binance      ACH/USDC             1h         2025-04-22T08:00:00.000Z  since_zero    
binance      GMT/USDC             1h         2025-04-22T08:00:00.000Z  since_zero    
binance      HYPER/USDC           1h         2025-04-22T13:00:00.000Z  since_zero    
binance      INIT/USDC            1h         2025-04-24T11:00:00.000Z  since_zero    
binance      SIGN/USDC            1h         2025-04-28T11:00:00.000Z  since_zero    
binance      STO/USDC             1h         2025-05-02T16:00:00.000Z  since_zero    
binance      ENJ/USDC             1h         2025-05-06T08:00:00.000Z  since_zero    
binance      SYRUP/USDC           1h         2025-05-06T15:00:00.000Z  since_zero    
binance      KMNO/USDC            1h         2025-05-06T15:00:00.000Z  since_zero    
binance      SXT/USDC             1h         2025-05-08T13:00:00.000Z  since_zero    
binance      PUNDIX/USDC          1h         2025-05-14T08:00:00.000Z  since_zero    
binance      NXPC/USDC            1h         2025-05-15T07:00:00.000Z  since_zero    
binance      HAEDAL/USDC          1h         2025-05-21T15:00:00.000Z  since_zero    
binance      HUMA/USDC            1h         2025-05-26T13:00:00.000Z  since_zero    
binance      A/USDC               1h         2025-05-28T08:00:00.000Z  since_zero    
binance      SOPH/USDC            1h         2025-05-28T13:00:00.000Z  since_zero    
binance      RESOLV/USDC          1h         2025-06-11T14:00:00.000Z  since_zero    
binance      HOME/USDC            1h         2025-06-12T15:00:00.000Z  since_zero    
binance      FLUX/USDC            1h         2025-06-17T08:00:00.000Z  since_zero    
binance      MASK/USDC            1h         2025-06-17T08:00:00.000Z  since_zero    
binance      SUSHI/USDC           1h         2025-06-17T08:00:00.000Z  since_zero    
binance      SPK/USDC             1h         2025-06-17T09:00:00.000Z  since_zero    
binance      NEWT/USDC            1h         2025-06-24T14:00:00.000Z  since_zero    
binance      SAHARA/USDC          1h         2025-06-26T12:00:00.000Z  since_zero    
